diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,case_id
3.1.1.dev111+g8ed579383,2.0.2,2.5.3,1.8.0,3.12.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},3d76a0c6e4fb8473fd11958b93cebb801701c0d4,3D,"(1.0, 1.0, 1.0)","(30, 512, 512)",-1007.9819869482927,-3024.0,1311.9931640625,dc421630be749d16fe355845f33ea6d6d0e441c4,"(1.0, 1.0, 1.0)","(30, 512, 512)","(13, 319, 243, 4, 28, 24)",1852,1,"(np.float64(14.330453563714903), np.float64(332.33585313174945), np.float64(254.951403887689))","(14.330453563714903, 332.33585313174945, 254.951403887689)",0.8326458755612439,0.1290904208128827,3.764063828160707,29.15835121195196,24.0,35.4682957019364,28.071337695236398,35.4682957019364,1825.5833333333333,24.278580874798,0.4875293920426318,1481.6686633310837,0.8116138202388736,1852.0,69.10795364379884,152.11372375488284,24790928.01097022,2.5276474351921463,37.18333625793457,5.418302202129372,202.16213989257812,26.21041459003099,109.84238276546962,112.94003295898438,-79.72328186035156,281.8854217529297,15.812022248930614,115.6980131355091,-0.8870719078840438,24790928.01097022,0.22364824204992328,1320.6811919085012,81.4784701029016,142.10741826046828,-8.57467327502049,5.123472582305183,2.563919749293068,0.3113581941178216,1.0998329413926844,1.8897912069405949,1.2538807439224597,0.611290604759356,0.5769057821596634,0.985911692344269,0.9276375904313204,-0.10710522188125106,0.4897146021568842,0.4651952617561093,8.990901571442297,0.07132817411357312,4.541993020291173,0.3864837066415812,0.17336277763084568,17.981803142884598,3.1146838688598066,1.921848082899563,6.062294335953199,131.4535637149028,0.0709792460663622,16.270169660725198,414.19654427645787,2.2309499041372587,81.4524838012959,73.08855291576674,6107.928725701944,0.9157944577081076,0.015043382387257465,0.07668709836426917,5.50959036254996,0.002235388903390632,274.5560000337043,0.19759843896784848,2.6053304386212943,80.71529924593116,2.6537681637632167,218.8578899804406,0.037053869903635794,0.01584094043822656,3.662495557910425,876.8485092305832,0.6110813361232512,0.7485462701445423,0.6621118790226063,0.8000351620842902,64.08896386181817,0.013224584970050968,17.610687022900763,0.13443272536565468,6.251383951984151,69.8854961832061,4527.832061068702,382736.9465648855,54.70637933923949,0.03170357884788333,38.86259541984733,0.2966610337392926,0.5634043699419741,38.19627257822627,0.02266806485148583,5.2244391718127,0.07073434125269978,4327.965852805781,1.5895757081965598,0.003956380580644579,64.09221384321421,0.023592451969447453,0.337730950886101,1a7jTnjpn9.hdf5
3.1.1.dev111+g8ed579383,2.0.2,2.5.3,1.8.0,3.12.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},fba6b20619594877b7c829665b6d9d71d080ccc2,3D,"(1.0, 1.0, 1.0)","(42, 512, 512)",-934.0984761246738,-3024.0,2089.1123046875,36dd833274024721d7341f81b4dcab24caa780ce,"(1.0, 1.0, 1.0)","(42, 512, 512)","(26, 345, 336, 5, 58, 54)",11150,1,"(np.float64(27.995515695067265), np.float64(373.12331838565024), np.float64(360.80269058295966))","(27.995515695067265, 373.12331838565024, 360.80269058295966)",0.9100844855847376,0.09340082777859958,5.4824066184361895,58.69762344539245,54.147945482723536,70.03570517957252,58.034472514187634,75.76938695805846,11091.958333333334,53.419796438346616,0.348426327264931,6903.118274021779,0.6223534263806838,11150.0,-60.93951721191406,298.39683532714844,361353317.62766653,4.3465954979950405,140.75257110595703,7.317829258720517,1107.46240234375,102.52030239285389,111.36331145212722,95.26729202270508,-165.1201934814453,1272.5825958251953,65.0564521305136,180.02324653766559,1.30002091762727,361353317.62766653,0.06159308250718896,20006.582156377637,163.63742952602948,67876.41029351356,1164.6380057535941,105.01506836973292,22.27339829843616,0.6495160999592525,2.909009462684259,3.0444568596411017,12.95609646624683,0.43756856979815123,0.3698670680426711,0.9924320494963429,0.9506864011000036,-0.1862127520673356,0.8523701995242852,0.3499814208526884,11.956216924949114,0.007687663300859654,7.87711957745539,0.700963097035622,0.024438744240821673,23.912433849898257,5.233662152562351,31.822116667042273,7.547828432877361,1243.5266367713004,0.11152705262522875,7.882888455428422,686.7628699551569,32.16015685012769,175.04304932735425,30.29865470852018,4543.3876233183855,0.5318844810296153,0.01867003535309814,0.16875178359658377,43.414522379506586,0.002964103100047944,571.1427265798849,0.05978763543239648,33.6927426474526,179.07156641935538,1.6582561272861858,279.12776872872865,0.030729972266797932,0.01876153710988796,5.042704464204836,7354.690899874127,0.7608495763728732,0.8563642635391513,0.25296537753383097,0.8914084372669294,162.37891666476207,0.016786239795403,89.65927419354838,0.04519116642819979,62.025403835522894,261.34173387096774,758.4576612903226,96615.50201612903,11.23658993225663,0.01944716240729861,654.6290322580645,0.3299541493236212,0.5954558847040294,184.8273905467888,0.009542241433400971,7.0512634396011284,0.1779372197309417,726.873714514503,1.2869136997457584,0.0009469659150884758,2780.678136590724,0.04735454984980977,2.1959879405503386,Di7ARaJ8S6.hdf5
3.1.1.dev111+g8ed579383,2.0.2,2.5.3,1.8.0,3.12.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},a4e8813a50ea394576013fc6d225a3ebbc1eafce,3D,"(1.0, 1.0, 1.0)","(94, 512, 512)",-380.3177161828596,-1023.9964599609375,1390.6744384765625,bff275d9aa2fd6a5e73fde3f82d477e9cabd47b1,"(1.0, 1.0, 1.0)","(94, 512, 512)","(51, 335, 271, 4, 30, 23)",2018,1,"(np.float64(52.69623389494549), np.float64(348.4643211100099), np.float64(281.0792864222002))","(52.69623389494549, 348.4643211100099, 281.0792864222002)",0.7717628961370112,0.13309847063842228,4.0887707853035,30.71989306632327,23.021728866442675,36.40054944640259,30.01666203960727,36.6333181680284,1991.375,23.708473641884936,0.4967075003983649,1541.0572521416714,0.7738659228631831,2018.0,12.881081104278566,128.46175384521484,16244503.063116997,2.9263942706864055,59.35749530792236,3.941401388670472,252.8768768310547,36.86242353827197,75.90196223845345,81.85221862792969,-100.36947631835938,353.24635314941406,24.760234414192627,89.72069606195619,-0.5639318516442703,16244503.063116997,0.1602279189966221,2288.6954301943074,75.21629418882485,568.0382725462488,-33.49251628489742,11.43217062114897,2.077770075632849,0.6885159552952503,0.9998834083059459,1.8040479850950486,0.9977969331691086,0.6302430049919128,0.5977292590834594,0.9921981081598253,0.9444403307109192,-0.21846638565778168,0.8033313962795593,0.453871844701166,8.536774390155252,0.04943804165747751,5.037078539688729,0.7986572417207332,0.12941455540638871,17.073548780310496,3.656312999940421,3.3774851741954546,6.679748068310979,140.01387512388504,0.06938249510598862,19.05298988980248,323.33994053518336,3.7475387518281944,76.52923686818632,86.57284440039643,6947.11496531219,1.3115817703019559,0.018682968772056805,0.05066569598779115,3.816013630615525,0.0015718704564742624,216.66880702830906,0.14760011144559862,4.1713539543065075,75.53705412005017,3.2235546283020797,251.46042869921183,0.05404019741648491,0.019781445370785914,4.124687812011083,892.1938528934,0.5841000934989871,0.7224212853548829,0.9700581894075679,0.7814911411588474,58.49602518555851,0.016006660228912093,8.317073170731707,0.10142772159428912,9.76279000594884,78.32926829268293,6253.268292682927,508802.2195121951,83.20463650668862,0.03697163301336123,12.585365853658537,0.15348007138607972,0.3891755756453481,28.290286686667166,0.021224201480252003,5.607237523699402,0.040634291377601585,5647.628197501487,1.0459308281930644,0.005221941051133315,76.59980331555984,0.021443440377231924,0.577315769889625,flGZ1oVmQ3.hdf5
