diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,diagnostics_Image-interpolated_Spacing,diagnostics_Image-interpolated_Size,diagnostics_Image-interpolated_Mean,diagnostics_Image-interpolated_Minimum,diagnostics_Image-interpolated_Maximum,diagnostics_Mask-interpolated_Spacing,diagnostics_Mask-interpolated_Size,diagnostics_Mask-interpolated_BoundingBox,diagnostics_Mask-interpolated_VoxelNum,diagnostics_Mask-interpolated_VolumeNum,diagnostics_Mask-interpolated_CenterOfMassIndex,diagnostics_Mask-interpolated_CenterOfMass,diagnostics_Mask-interpolated_Mean,diagnostics_Mask-interpolated_Minimum,diagnostics_Mask-interpolated_Maximum,diagnostics_Mask-resegmented_Spacing,diagnostics_Mask-resegmented_Size,diagnostics_Mask-resegmented_BoundingBox,diagnostics_Mask-resegmented_VoxelNum,diagnostics_Mask-resegmented_VolumeNum,diagnostics_Mask-resegmented_CenterOfMassIndex,diagnostics_Mask-resegmented_CenterOfMass,diagnostics_Mask-resegmented_Mean,diagnostics_Mask-resegmented_Minimum,diagnostics_Mask-resegmented_Maximum,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,case_id,data_source
3.1.1.dev111+g8ed579383,2.0.2,2.5.3,1.8.0,3.12.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': [2, 2, 2], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': [-200, 300], 'label': 1, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},3d76a0c6e4fb8473fd11958b93cebb801701c0d4,3D,"(1.0, 1.0, 1.0)","(30, 512, 512)",-1007.9819869482927,-3024.0,1311.9931640625,dc421630be749d16fe355845f33ea6d6d0e441c4,"(1.0, 1.0, 1.0)","(30, 512, 512)","(13, 319, 243, 4, 28, 24)",1852,1,"(np.float64(14.330453563714903), np.float64(332.33585313174945), np.float64(254.951403887689))","(14.330453563714903, 332.33585313174945, 254.951403887689)","(2.0, 2.0, 2.0)","(14, 26, 24)",102.9295865603207,68.34801083167372,126.73652217396196,"(2.0, 2.0, 2.0)","(14, 26, 24)","(5, 5, 6, 2, 14, 11)",239,1,"(np.float64(5.598326359832636), np.float64(11.602510460251047), np.float64(11.200836820083682))","(13.696652719665272, 331.7050209205021, 254.90167364016736)",101.0224693933765,86.27554714704704,108.71997440551742,"(2.0, 2.0, 2.0)","(14, 26, 24)","(5, 5, 6, 2, 14, 11)",239,1,"(np.float64(5.598326359832636), np.float64(11.602510460251047), np.float64(11.200836820083682))","(13.696652719665272, 331.7050209205021, 254.90167364016736)",101.0224693933765,86.27554714704704,108.71997440551742,0.7706344166777606,0.12919751105501026,3.8283804870058544,29.631998757126134,22.0,32.802438933713454,28.071337695236398,33.34666400106613,1812.6666666666667,22.835438077194024,0.5336829091539594,1347.140197015866,0.7431814253489515,1912.0,93.19880542957763,105.64054609556267,2444189.310513584,0.8442723472086631,4.258806187001355,3.873231552675055,108.71997440551742,3.455213640143408,101.0224693933765,102.01554475072756,86.27554714704704,22.444427258470384,2.130580172370402,101.12731340638511,-1.138134069426405,19553514.48410867,0.6039985294375099,21.194194457545716,2.987029830946762,0.4536968115460811,-0.21223754998461059,0.4168898716287369,0.3790778358381185,0.054908186873550376,0.3790778358381185,0.8618948040189518,0.2074171745653634,0.8104610820809407,0.8104610820809407,0.9241844328323764,0.8736407213872938,-0.14805291668712955,0.393883897870088,0.3790778358381185,1.7255229162886074,0.3945989717012089,1.571274321398539,0.35323588128363637,0.5359839983695479,3.451045832577215,1.1921964855604201,0.19899192686671385,4.234003119861146,22.799163179916317,0.09539398820048668,18.53552984016386,144.35564853556485,0.19800073528124507,3.1841004184100417,126.99163179916317,464.64853556485355,42.57740585774059,0.45397489539748953,0.02054648181155818,0.05091596821255989,0.01295411021130775,85.38307825290508,0.5504966470739685,0.22475167646301575,2.9506457748173966,10.902257245355937,37.663828848381556,4.211864344599528,0.5123385562956508,2.1651247599820826,90.23034105319503,0.5053980271437246,0.6379143868683618,3.7419484354807286,0.6767745718218591,1.9059060114499244,0.3694917119148427,2.5,0.625,0.1875,1.75,8391.25,31098.25,2714.5,0.8125,1.0,0.25,0.06952964856286156,0.06955442065957183,0.069523455538684,1.9999999999999987,0.016736401673640166,4821.1875,14.843474392648165,0.028447617648606722,0.2941617445856642,0.05846307881799464,0.028341133449877744,1a7jTnjpn9.hdf5,UCSF-RMAC
3.1.1.dev111+g8ed579383,2.0.2,2.5.3,1.8.0,3.12.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': [2, 2, 2], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': [-200, 300], 'label': 1, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},fba6b20619594877b7c829665b6d9d71d080ccc2,3D,"(1.0, 1.0, 1.0)","(42, 512, 512)",-934.0984761246738,-3024.0,2089.1123046875,36dd833274024721d7341f81b4dcab24caa780ce,"(1.0, 1.0, 1.0)","(42, 512, 512)","(26, 345, 336, 5, 58, 54)",11150,1,"(np.float64(27.995515695067265), np.float64(373.12331838565024), np.float64(360.80269058295966))","(27.995515695067265, 373.12331838565024, 360.80269058295966)","(2.0, 2.0, 2.0)","(14, 41, 39)",87.98625500163844,13.02622909219066,186.58894427283528,"(2.0, 2.0, 2.0)","(14, 41, 39)","(6, 6, 6, 2, 26, 24)",1100,1,"(np.float64(6.5), np.float64(18.5), np.float64(17.5))","(27.5, 371.5, 359.5)",91.55089137278831,66.75817770271537,159.22653602810678,"(2.0, 2.0, 2.0)","(14, 41, 39)","(6, 6, 6, 2, 26, 24)",1100,1,"(np.float64(6.5), np.float64(18.5), np.float64(17.5))","(27.5, 371.5, 359.5)",91.55089137278831,66.75817770271537,159.22653602810678,0.8881367784920249,0.06814669919297432,3.9416506026832283,57.840667990704354,48.041648597857254,67.94115100585212,52.03844732503075,69.45502141674135,8600.666666666666,51.37042453509094,0.3855862547517079,5264.825621965123,0.6121415729747838,8800.0,76.52176079724201,108.5374522995991,9387888.516119294,1.200457723588453,14.923615012967645,5.197423707857886,159.22653602810678,9.482879385464623,91.55089137278831,89.9503334285518,66.75817770271537,92.4683583253914,6.422629338296662,92.38205510575631,0.8744769936362911,75103108.12895435,0.544004958677686,152.87839441090753,4.750155192696956,2.7747801339146188,0.41591755890664,0.7884925893603233,0.5508047582343921,0.18580451322690167,0.4370851662321914,1.1295086018606815,0.33333900000821937,0.7995045094906365,0.7928293760841244,0.9798422935751965,0.9297953550046656,-0.12010735694123703,0.37768467369811126,0.34613882120718503,2.1658013633010778,0.3180382415056199,2.306571327878893,0.29763598884701986,0.5181195003826583,4.331602726602155,1.7225727361121201,0.33482433689867885,4.866257590411435,73.13090909090909,0.06648264462809918,20.15700495867769,598.4054545454545,0.3228719008264463,4.984545454545454,146.57636363636362,668.2336363636364,36.30379368686869,0.2760371212121212,0.02437585228586241,0.15210160664005348,0.009257298572320572,314.9432516925523,0.45605138772528786,0.44606871268051446,5.267770654019771,12.544892205131974,58.072832322946276,3.240120835661481,0.29276620798592007,2.8610956166195862,353.1763111644716,0.4503681901138928,0.606013986013986,5.6660518969141265,0.6482541719462236,3.5686431313385256,0.20033644165071737,6.222222222222222,0.345679012345679,1.3487654320987654,8.166666666666666,35750.444444444445,152859.94444444444,8874.264212962962,0.35638888888888887,3.4444444444444446,0.19135802469135801,0.4187507074484105,2.55400537425814,0.19539367797853557,3.461320140211004,0.016363636363636365,32015.876543209877,10.106990903607716,0.00734184825451142,3.774377304910183,0.010674540287893065,0.08331649914991149,Di7ARaJ8S6.hdf5,UCSF-RMAC
3.1.1.dev111+g8ed579383,2.0.2,2.5.3,1.8.0,3.12.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': [2, 2, 2], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': [-200, 300], 'label': 1, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},a4e8813a50ea394576013fc6d225a3ebbc1eafce,3D,"(1.0, 1.0, 1.0)","(94, 512, 512)",-380.3177161828596,-1023.9964599609375,1390.6744384765625,bff275d9aa2fd6a5e73fde3f82d477e9cabd47b1,"(1.0, 1.0, 1.0)","(94, 512, 512)","(51, 335, 271, 4, 30, 23)",2018,1,"(np.float64(52.69623389494549), np.float64(348.4643211100099), np.float64(281.0792864222002))","(52.69623389494549, 348.4643211100099, 281.0792864222002)","(2.0, 2.0, 2.0)","(14, 27, 23)",90.83147887005434,1.1388564819251947,148.29587589766825,"(2.0, 2.0, 2.0)","(14, 27, 23)","(5, 6, 5, 2, 14, 12)",248,1,"(np.float64(5.67741935483871), np.float64(11.85483870967742), np.float64(10.17741935483871))","(51.85483870967742, 348.2096774193548, 280.85483870967744)",93.08880948757489,64.06811376696879,115.35776320188087,"(2.0, 2.0, 2.0)","(14, 27, 23)","(5, 6, 5, 2, 14, 12)",248,1,"(np.float64(5.67741935483871), np.float64(11.85483870967742), np.float64(10.17741935483871))","(51.85483870967742, 348.2096774193548, 280.85483870967744)",93.08880948757489,64.06811376696879,115.35776320188087,0.8253976346407231,0.11730506927895232,3.585704511465825,30.567344902537787,24.0,35.608987629529715,28.071337695236398,35.608987629529715,1880.0,25.23021417980186,0.4910685812869418,1500.078115654281,0.7979138913054686,1984.0,78.03354366571259,108.11235915915483,2181784.0264304713,1.212041329296936,18.390441932115507,2.151204729689564,115.35776320188087,9.735283697267642,93.08880948757489,94.1182383874081,64.06811376696879,51.28964943491208,7.400706237569717,93.79507575351032,-0.17995434333872828,17454272.21144377,0.4814971383975026,131.98978379272614,4.801992409452808,1.1642693844919234,-0.04907231633157863,0.6200245002094072,0.5480175146916332,0.054127947088846814,0.46361580528992385,1.1094970482619866,0.30554618539197226,0.7822590489219897,0.7766322682952088,0.9490937120416848,0.8883161341476045,-0.1326304135010732,0.4647038805374686,0.38976430956342806,2.1858170854226677,0.3060775037690116,2.152139616062073,0.3892715677786127,0.47766012694793997,4.3716341708453355,1.5472445926330776,0.2920105037252601,4.537788043957588,20.588709677419356,0.08301899063475546,14.774388657648283,119.41129032258064,0.31997918834547345,5.491935483870968,97.37903225806451,467.01612903225805,22.904345878136198,0.2488799283154122,0.02768535526609304,0.14780069381020883,0.011183483710198573,76.11472683913964,0.4399992750101076,0.37600142201255426,5.577943831301014,5.815398143037142,32.058173099922826,1.313444663318774,0.2659357561978644,2.399274839458848,107.40498070425147,0.5498579641910152,0.688895781637717,1.8674621571402503,0.7255660223769441,4.213303505365692,0.19868366233545853,2.3333333333333335,0.3888888888888889,0.8055555555555556,4.166666666666667,4837.0,24632.333333333332,1075.0185185185185,0.5787037037037037,1.3333333333333333,0.2222222222222222,0.08040381944444445,0.22878252314814818,0.06391421039094651,2.5849625007211543,0.024193548387096774,3128.5555555555557,6.404788525458027,0.03396581460643394,0.977101182291977,0.03348320100273537,0.08183276641404089,flGZ1oVmQ3.hdf5,UCSF-RMAC
